produto,ano_mes,volume,ano,mes
Placas / Slabs,2013_ago,385.887,2013,ago
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_ago,31.964,2013,ago
Laminados / Rolled Products,2013_ago,191.225,2013,ago
Planos / Flat Products,2013_ago,77.79799999999999,2013,ago
Longos / Long Products,2013_ago,113.427,2013,ago
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_ago,391.06,2013,ago
Placas / Slabs,2013_ago,355.317,2013,ago
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_ago,35.743,2013,ago
Total (Mil t / Thousand Tonnes),2013_ago,582.285,2013,ago
(US$ Milhões / US$ Millions),2013_ago,440.298,2013,ago
Laminados / Rolled Products,2013_ago,336.01099999999997,2013,ago
Planos / Flat Products,2013_ago,251.93699999999998,2013,ago
Longos / Long Products,2013_ago,84.074,2013,ago
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_ago,1.259,2013,ago
Total (Mil t / Thousand Tonnes),2013_ago,337.27,2013,ago
(US$ Milhões / US$ Millions),2013_ago,391.814,2013,ago
Consumo Aparente / Apparent Consumption (***),2013_ago,2559.0389999999998,2013,ago
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_ago,1493.575,2013,ago
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_ago,1065.464,2013,ago
Aço Bruto / Crude Steel,2013_set,2981.309,2013,set
Laminados / Rolled Products (*),2013_set,2181.567,2013,set
Planos / Flat Products,2013_set,1229.652,2013,set
Longos / Long Products,2013_set,951.915,2013,set
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_set,514.021,2013,set
Placas / Slabs,2013_set,423.621,2013,set
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_set,90.4,2013,set
Ferro-Gusa / Pig Iron,2013_set,2244.132,2013,set
Vendas Internas / Domestic Sales (*),2013_set,2111.765,2013,set
Laminados / Rolled Products,2013_set,2054.0409999999997,2013,set
Planos / Flat Products,2013_set,1183.966,2013,set
Longos / Long Products,2013_set,870.0749999999999,2013,set
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_set,57.724000000000004,2013,set
Placas / Slabs,2013_set,26.662,2013,set
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_set,31.062,2013,set
Vendas Externas / Foreign Market (**),2013_set,663.2719999999999,2013,set
Laminados / Rolled Products,2013_set,190.70999999999998,2013,set
Planos / Flat Products,2013_set,79.065,2013,set
Longos / Long Products,2013_set,111.645,2013,set
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_set,472.562,2013,set
Placas / Slabs,2013_set,434.833,2013,set
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_set,37.729,2013,set
Laminados / Rolled Products,2013_set,198.698,2013,set
Planos / Flat Products,2013_set,110.37100000000001,2013,set
Longos / Long Products,2013_set,88.327,2013,set
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_set,433.96999999999997,2013,set
